userName,score,content,at
Meilinda sari,5,memang sangat d perlukan tp pastikan BMKG harus selalu akurat.,2025-05-26 05:24:01
Sarman Simamora,5,membantu mengetahui keadaan cuaca,2025-05-25 14:32:44
lilik putut armunanto lilik,5,Good,2025-05-25 11:23:59
imam tirta,5,membantu sekali,2025-05-25 10:28:27
Andhez Nikko,5,cukup membantu,2025-05-25 06:55:58
Sugiantodidekafriansyah321 Sugiantodidekafriansyah,1,trimah Kaseh atas partisipasi nya,2025-05-24 20:59:17
yogasak,1,tidak akurat,2025-05-24 19:00:50
Merah Putih Id Maju2,5,sangat mudah digunakan,2025-05-24 15:27:40
John Conelle,5,Aplikasi ini sangat membantu,2025-05-23 18:34:50
Sumiyati sum,5,"sangat membantu sekali utk mengetahui cuaca saat itu,jadi lebih tahu situasa kl mau bepergian🙏",2025-05-23 18:05:51
sovia indri,3,sebenere sangat membantu melihat cuaca tp setelah update 1 minggu (16-5-2025) yg lalu sampai skrg malah gk bs dibuka cm ngeblank hitam,2025-05-23 12:40:23
Mas Nano Normansyah,4,tolong apknya di perbaiki lagi masak setelah di upgrate saat di buka gambarnya eror kotak kotak berkedip sebenarnya apknya bagus cuma ya itu setelah di upgrate malah eror tolong di perbaiki lagi,2025-05-23 12:31:59
Dika Mahreen,5,bagus,2025-05-23 08:04:07
Yuli Momfahri,3,"bagus sih,sayangnya aplikasi GK bisa dibuka dan notifikasi masuk bbrp menit setelah gempa .jd brasa was2 klo kejadian ditempat kita tinggal karna lama updatenya ,dibuka GK bisa ngblank",2025-05-23 03:21:03
NOVAL HENDRA,5,Informasinya cepat tersampaikan dengan adanya notifikasi ini,2025-05-23 03:06:58
muhammad kusuma,1,aplikasinya gak bisa dibuka mas,2025-05-22 22:18:58
Eza Ismail,5,Saya suka aplikasi ini 😊,2025-05-22 19:53:00
ariest-,4,abis di update malah radar nya ga bs dibuka. gmn sih?,2025-05-22 13:41:50
Abdul Rahman,3,bagus tapi gak falit masih bagus apps lainya,2025-05-21 22:12:12
Nadin Nadin,3,sangat membantu,2025-05-21 20:53:40
Jas Min,5,mantap,2025-05-21 20:19:02
Wujudin Lebu Ling,5,membantu dalam perjalanan,2025-05-21 19:53:12
Bp ojoy Bp ading,5,BMKG emang top sangat membantu untuk keselamatan masyarakat luas umumnya seluruh Indonesia trimakasih BMKG semoga yang kerja sehat semuanya,2025-05-21 16:25:25
Irma Maros,5,sangat cocok untuk bagi nelayan,2025-05-21 14:57:59
zdan wy,5,zidane,2025-05-21 13:56:49
Ahmad Faris Maulana Faris,3,sekarang jarang titik gempa diukur dari gunung sahari buian dari titik kita berada,2025-05-21 04:07:18
Muhammad Syafii,5,sangat membantu. semoga kedepan lebih baik lagi 👍,2025-05-20 19:19:17
Maria Ani,5,oke lah,2025-05-20 16:12:11
Yufa Mursalina,1,"bagus aplikasi nya, tapi sayangnya saat buka apknya lokasinya berbeda dengan tempat tinggal saya. lokasi di bekasi tapi yang di tertera di apk di jakarta, udh diganti tetap aja tidak bisa pdhl sudah menyalakan GPS di hp😮‍💨",2025-05-20 13:49:13
La Ali,5,sangat baik,2025-05-20 05:18:24
Tri Septi Repelita Ningsih,5,BMKG hebat,2025-05-19 23:24:20
ibrohim nyata,5,saya melihat suhunya desa setempat,2025-05-19 22:04:02
Auguss Anto,5,good,2025-05-19 21:56:27
Muslim Koga,5,mantap,2025-05-19 21:18:22
Eko Budiyanto Iqro,5,"sangat berguna bagi saya dalam kegiatan pertanian, terimakasih",2025-05-19 19:39:31
Dodod Wirombodo,5,mantap Kakak,2025-05-19 16:57:24
Celvingulo Celvingulo,5,mantap,2025-05-19 15:16:33
Donny Siagian,1,apk nya minta update terus... ngabisin kuota aj🤦🏻🤦🏻🤦🏻,2025-05-19 15:08:50
M R,3,"lokasi nya tdk bisa diperbarui...walaupun disetting tetap aja gk berubah dari ""Gunung Sahari Selatan"" TOLONG DiPerbaiki!!!!!!",2025-05-19 14:25:08
adie bey,3,"prakiraan cuacanya lebih baik dari prakiraan cuaca bawaan dari hp,dan untuk tampilan radar aeannya lebih baik lagi",2025-05-19 14:19:22
Ronnie Nurbiantoro,5,infonya up-to-date,2025-05-19 13:42:38
Sarip Sarti,5,terima kasih,2025-05-19 13:22:27
m.laili rahman,5,sangat membantu,2025-05-19 11:59:10
Andhika Mamonto,5,Aplikasi sangat membantu.untuk mempercepat berita apa lagi tentang gempa.pokoknya saya salut Aplikasih in sangat mendukung.,2025-05-19 10:51:55
Gusti Ayu Pujasrini,4,suka informasi,2025-05-19 09:11:00
Abu Bakar,5,terimakasih atas perbaikannya,2025-05-19 09:07:19
kus kansas,5,keren,2025-05-18 23:41:30
Wiwin Alief Bachtiar,5,Perkiraan Cuaca oke banget,2025-05-18 23:17:09
Argy Jayanti,3,setelah diperbaharui malah tidak bisa di buka,2025-05-18 19:00:11
Jefs Marmus,5,puas,2025-05-18 18:22:39
Eddie,5,"Akurat. hanya sayangnya gak ada widget jadi harus buka tutup aplikasi. mana berat pula aplikasinya saat dibuka. semoga kedepannya ada widget layar depan, lalu tampilan cuaca dipercantik. semoga BMKG tambah maju.🇮🇩",2025-05-18 13:18:07
Johanes Sembiring,5,Infonya sering tidak sesuai. Prediksi tidak akurat.,2025-05-18 13:15:18
Pit Ren8606,3,semonggah bermanfaaat dan berfungsi dengan tepat waktuk sebelum kejadian terjadi.,2025-05-18 10:04:53
SEMUEL LESSIL,5,sangat bagus untuk kami bisa melihat daerah mana yang sedang di landa gempa.,2025-05-18 09:05:31
Siser srn,5,sangat membatu informasi cuaca,2025-05-18 06:35:56
Ghulam Mabrur Rosyidi,5,Valid.. kerennn....,2025-05-17 22:14:37
angler semrawut,1,banyak bug,2025-05-17 15:59:30
djuanda RM,5,mantap,2025-05-17 07:43:56
Yesika Agusmi Rahayu,1,"Lokasi tidak bisa diubah ke lokasi terkini selalu muncul di Gunung Sahari Selatan, EWS Gunung Sahari Selatan buat apa orang kita di Daerah.",2025-05-17 06:22:24
Supianto Prasetiawan,5,🦥,2025-05-17 01:20:28
Dimas Yoyok,5,perkembangan cuaca dan pantau kebencanaan,2025-05-16 22:04:16
Ayu Anjani,5,apl buat petani jos pkoknya,2025-05-16 21:26:27
Sahudi,3,"Sayang gak ada widgets-nya, padahal penting banget untuk menampilkan info cuaca tanpa harus buka aplikasi setiap saat",2025-05-16 15:07:44
Gregorius Manto,3,Kenapa info kualitas udara di wilayah NTT tida ada yah?.,2025-05-16 11:26:13
SAPARIN SIREGAR,5,oke bos,2025-05-15 18:50:22
Kekey Hastuti,3,setelah di update malah g bisa di buka,2025-05-15 13:48:15
Toni Un,5,bagusss,2025-05-15 12:06:53
sultan sukarno,5,mantap,2025-05-15 09:11:11
Alexander Siregar,5,Aplikasi yg.sangat membantu saya sebagai Lansia untuk mengantisipasi buat Kesehatan harian saya...Terimakasih.🤝👃👍...,2025-05-14 22:33:01
Andre Syaifuddin,1,setelah up date jelek bangetttttttt,2025-05-14 22:03:44
Abu Janwar,5,sangat membantu dapat informasi,2025-05-14 21:20:03
Alan,5,bagus,2025-05-14 08:05:06
Steve Durban Real 96,5,ok,2025-05-14 05:16:53
Alaine Kasmidi,4,aplikasimu ngeglitch king... perbaiki segera,2025-05-13 17:32:50
endang jajaty,4,cukup baik,2025-05-12 21:53:40
Pudji Setya,4,Ok lumayan untuk mengetahui prakiraan cuaca saat ini.,2025-05-12 20:52:25
Xaxa Mitchel,5,sangat bermanfaat dan info akurat,2025-05-12 19:24:46
F,3,notif gempa nya telat,2025-05-12 12:23:46
Khalisa Nuha,4,akurat,2025-05-12 11:44:05
Feivel Widihartanto,5,terimahkasih,2025-05-12 07:56:30
faqir alhaqir,5,aplikasinya bagus tingkat akurasinya juga tinggi cocoklah pokoknya...,2025-05-12 07:46:38
Novie Abdul Salam,1,"Setelah saya update ke versi 3.4.5 malah aplikasi eror tidak dapat dibuka, mohon diperbaiki updatenya & ditunggu update selanjutnya 🙏",2025-05-12 06:21:02
Hentje Dentje Herly Wariki,5,ok,2025-05-12 06:11:14
Sanjaya Jaya,5,bagus membantu memantau cuaca,2025-05-12 05:49:07
Abdi Salam,5,ok,2025-05-12 01:11:38
Siswaji 01,4,ok,2025-05-12 00:13:46
Yusuf Hidayat,5,ok,2025-05-11 23:04:15
Kang Pao,4,Sering kiriman data terlambat,2025-05-11 20:46:55
Muhamad Sobirin,5,99℅ akurat,2025-05-11 20:07:24
Dilwa Putra Raka Derma,4,kadang kurang tepat predikainya,2025-05-11 18:54:31
Sayed M Faisal,5,sangat mendukung,2025-05-11 18:25:52
Eddirman Nurdin,5,aplikasi ini bagus.,2025-05-11 18:24:52
Alex Khurnun,5,aplikasi ini sangat membantu sekali 🅚🅔🅡🅔🅝,2025-05-11 18:03:39
Andreaz Jati,5,data nya lengkap banget 💯💯💯💯,2025-05-11 17:51:34
survival official website,5,"aplikasi yang bagus, dan akurat👌😍",2025-05-11 17:50:36
Armada jaya,5,trmakasih sudah maembantu kami para plaut,2025-05-11 17:48:10
Kasi Yanto,5,"Tk,s.",2025-05-11 17:10:34
muis ali,5,akurasinya mantap,2025-05-11 16:39:00
Panji-panji Hitam Hitam,5,ok bagus sekali,2025-05-11 16:21:29
Subur 80,5,oke,2025-05-11 16:08:42
ANS KB,5,"Sangat berguna , Terima kasih.",2025-05-11 16:07:14
Edi Sudarto,5,Bagus sekali...👍👍👍,2025-05-11 16:05:57
Darma Suhada,5,best👍,2025-05-11 16:00:51
Srigumanti,5,"saya sangat terbantu, dengan informasi BMKG ,",2025-05-11 14:13:47
Tamtomo Teguh,3,kekurangannya belum bisa widget buat di taruh di home screen,2025-05-11 13:14:34
Tedi Hambali,5,untuk akurasi sangat baik tapi sayang belum ada widget,2025-05-11 12:41:50
Suwandi Wandi,4,prakiraan waktu akurat,2025-05-11 12:35:37
Iwan Eko,5,bagus,2025-05-11 11:59:57
R. A. N. Hidayat,4,lumayan,2025-05-11 11:03:18
Isnan Choliq,5,perkiraan cuaca akurat saran kalau bisa perkiraan cuaca ada opsi per kecamatan,2025-05-11 04:35:42
Nurasih Liwa,5,"aplikasi bagus dan keren sebagai petani saya wajib memiliki aplikasi ini jadi tau prediksi hujan seminggu kedepan,dan ini sangat akurat sekalj",2025-05-11 03:58:26
Jersey grand,2,kenapa setelah di update aplikasi nya eror,2025-05-10 23:53:38
Meteo Muslim,4,"Jangan dibikin minta update terus donk min, ga enak tiap buka aplikasi muncul pop up update aplikasi terus",2025-05-10 23:06:46
Syamsuri Q-vol,5,Top,2025-05-10 21:56:15
Muhlis,5,sangat membantu sekali,2025-05-10 04:00:05
Rafi Nur,5,oke,2025-05-09 20:34:36
Merah Putih go id maju02,5,ok,2025-05-09 08:55:07
Waatsiq Computer,1,kurang akurat,2025-05-08 09:27:19
Merah putih O2 arie id maju,5,ok,2025-05-07 09:06:15
Shani Amelia,1,engga akurat,2025-05-06 20:48:25
